"Experiment Accession","Experiment Title","Organism Name","Instrument","Submitter","Study Accession","Study Title","Sample Accession","Sample Title","Total Size, Mb","Total RUNs","Total Spots","Total Bases","Library Name","Library Strategy","Library Source","Library Selection"
"SRX8724114","Methylomonas_Bali_mangrove_soils_Summer_replicate_2","Methylomonas","Illumina MiSeq","National Taiwan University","SRP250215","pmoA and 16S genes in mangrove forests in Tamshi, Taipei, Taiwan Metagenomic assembly","SRS6999147","","0.05","1","1","495","Methylomonas_BS_2","AMPLICON","METAGENOMIC","PCR"
"SRX8724113","Methylosarcina_Bali_mangrove_soils_Summer","Methylosarcina","Illumina MiSeq","National Taiwan University","SRP250215","pmoA and 16S genes in mangrove forests in Tamshi, Taipei, Taiwan Metagenomic assembly","SRS6999146","","0.05","1","1","495","Methylosarcina_BS","AMPLICON","METAGENOMIC","PCR"
"SRX8724112","Methylomonas_Bali_mangrove_soils_Winter","Methylomonas","Illumina MiSeq","National Taiwan University","SRP250215","pmoA and 16S genes in mangrove forests in Tamshi, Taipei, Taiwan Metagenomic assembly","SRS6999145","","0.05","1","1","495","Methylomonas_BW","AMPLICON","METAGENOMIC","PCR"
"SRX8724107","Uncultured_TypeIb_Bali_mangrove_soils_Winter","type I methanotrophic bacterium","Illumina MiSeq","National Taiwan University","SRP250215","pmoA and 16S genes in mangrove forests in Tamshi, Taipei, Taiwan Metagenomic assembly","SRS6999140","","0.07","1","1","495","Uncultured_TypeIb_BW","AMPLICON","METAGENOMIC","PCR"
"SRX8724106","Uncultured_TypeIb_Bali_mangrove_soils_Summer","type I methanotrophic bacterium","Illumina MiSeq","National Taiwan University","SRP250215","pmoA and 16S genes in mangrove forests in Tamshi, Taipei, Taiwan Metagenomic assembly","SRS6999139","","0.07","1","1","495","Uncultured_TypeIb_BS","AMPLICON","METAGENOMIC","PCR"
"SRX8724105","Uncultured_TypeIa_Guandu_mangrove_soils_winter","type I methanotrophic bacterium","Illumina MiSeq","National Taiwan University","SRP250215","pmoA and 16S genes in mangrove forests in Tamshi, Taipei, Taiwan Metagenomic assembly","SRS6999138","","0.07","1","1","495","Uncultured_TypeIa_GW","AMPLICON","METAGENOMIC","PCR"
"SRX8724104","Uncultured_TypeIa_Guandu_mangrove_soils_Summer","type I methanotrophic bacterium","Illumina MiSeq","National Taiwan University","SRP250215","pmoA and 16S genes in mangrove forests in Tamshi, Taipei, Taiwan Metagenomic assembly","SRS6999137","","0.07","1","1","495","Uncultured_TypeIa_GS","AMPLICON","METAGENOMIC","PCR"
"SRX8724103","Uncultured_TypeIa_Bali_mangrove_soils_Winter","type I methanotrophic bacterium","Illumina MiSeq","National Taiwan University","SRP250215","pmoA and 16S genes in mangrove forests in Tamshi, Taipei, Taiwan Metagenomic assembly","SRS6999136","","0.07","1","1","495","Uncultured_TypeIa_BW","AMPLICON","METAGENOMIC","PCR"
"SRX8724101","Uncultured_TypeIa_Bali_mangrove_soils_Summer","type I methanotrophic bacterium","Illumina MiSeq","National Taiwan University","SRP250215","pmoA and 16S genes in mangrove forests in Tamshi, Taipei, Taiwan Metagenomic assembly","SRS6999134","","0.07","1","1","495","Uncultured_TypeIa_BS","AMPLICON","METAGENOMIC","PCR"
"SRX8724100","Methylomicrobium-jap-rel_Guandu_mangrove_soils_winter","Methylomicrobium sp.","Illumina MiSeq","National Taiwan University","SRP250215","pmoA and 16S genes in mangrove forests in Tamshi, Taipei, Taiwan Metagenomic assembly","SRS6999133","","0.05","1","1","495","Methylomicrobium-jap-rel_GW","AMPLICON","METAGENOMIC","PCR"
"SRX8724099","Methylobacter_Guandu_mangrove_soils_winter","Methylobacter","Illumina MiSeq","National Taiwan University","SRP250215","pmoA and 16S genes in mangrove forests in Tamshi, Taipei, Taiwan Metagenomic assembly","SRS6999132","","0.05","1","1","495","Methylobacter_GW","AMPLICON","METAGENOMIC","PCR"
"SRX8672148","meta-DNA of sediments of Zoige wetland","Methylobacter sp.","NextSeq 500","Institute of Microbiology","SRP270295","Megagenomic study of methanogens and stable isotope probing of methanotrophs in the Zoige wetland of Tibetan Plateau","SRS6951683","","9725.66","1","73865069","22159520700","Z-t1-2","AMPLICON","METAGENOMIC","size fractionation"
"SRX8672147","meta-DNA of sediments of Zoige wetland","Methylovulum sp.","NextSeq 500","Institute of Microbiology","SRP270295","Megagenomic study of methanogens and stable isotope probing of methanotrophs in the Zoige wetland of Tibetan Plateau","SRS6951682","","9315.61","1","71151183","21345354900","Z-t1-1","AMPLICON","METAGENOMIC","size fractionation"
"SRX8602873","microbe of sediment in Haihe","Methylomonas","Illumina NovaSeq 6000","Tianjin University","SRP268464","Chapter 4 MEC reactors Raw sequence reads","SRS6892977","","6.53","1","91800","19381060","S0.5V-4-4","AMPLICON","GENOMIC","PCR"
"SRX8602821","microbe of sediment in Haihe","Methylomonas","Illumina NovaSeq 6000","Tianjin University","SRP268460","Chapter 5 MEC and MFC reactors Raw sequence reads","SRS6892893","","6.8","1","91767","19699993","SMEC-5-4","AMPLICON","GENOMIC","PCR"
"SRX8321671","GSM4544735: 20Z-pXyl-methane-Rep2; Methylomicrobium alcaliphilum 20Z; RNA-Seq","Methylotuvimicrobium alcaliphilum 20Z","Illumina HiSeq 2000","GEO","SRP261107","Engineered methanotrophic platform for biomanufacturing of non-oxidative ribulose monophosphate pathway-derived products from methane and xylose","SRS6640986","","1451.71","1","14123418","2852930436","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX8321670","GSM4544734: 20Z-pXyl-methane-Rep1; Methylomicrobium alcaliphilum 20Z; RNA-Seq","Methylotuvimicrobium alcaliphilum 20Z","Illumina HiSeq 2000","GEO","SRP261107","Engineered methanotrophic platform for biomanufacturing of non-oxidative ribulose monophosphate pathway-derived products from methane and xylose","SRS6640985","","1436.64","1","13993995","2826786990","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX8321669","GSM4544738: 20Z-pXyl-methane+xylose-Rep2; Methylomicrobium alcaliphilum 20Z; RNA-Seq","Methylotuvimicrobium alcaliphilum 20Z","Illumina HiSeq 2000","GEO","SRP261107","Engineered methanotrophic platform for biomanufacturing of non-oxidative ribulose monophosphate pathway-derived products from methane and xylose","SRS6640984","","1766.83","1","17360476","3506816152","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX8321668","GSM4544737: 20Z-pXyl-methane+xylose-Rep1; Methylomicrobium alcaliphilum 20Z; RNA-Seq","Methylotuvimicrobium alcaliphilum 20Z","Illumina HiSeq 2000","GEO","SRP261107","Engineered methanotrophic platform for biomanufacturing of non-oxidative ribulose monophosphate pathway-derived products from methane and xylose","SRS6640983","","1663.86","1","16208055","3274027110","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX7570306","Biological organic matter and manganese removal","Crenothrix","454 GS FLX","Chengdu University of Information Technology","SRP242158","Biological organic matter and manganese oxidizing bacteria Raw sequence reads","SRS6006037","","17.51","1","78972","32626962","LT-1.5.fastq","RNA-Seq","GENOMIC","PCR"
"SRX7570305","Biological organic matter and manganese removal","Crenothrix","454 GS FLX","Chengdu University of Information Technology","SRP242158","Biological organic matter and manganese oxidizing bacteria Raw sequence reads","SRS6006037","","13.16","1","64788","26727060","LT-1.2.fastq","RNA-Seq","GENOMIC","PCR"
"SRX7570304","Biological organic matter and manganese removal","Crenothrix","454 GS FLX","Chengdu University of Information Technology","SRP242158","Biological organic matter and manganese oxidizing bacteria Raw sequence reads","SRS6006037","","14.5","1","70712","29276504","LT-0.8.fastq","RNA-Seq","GENOMIC","PCR"
"SRX7570303","Biological organic matter and manganese removal","Crenothrix","454 GS FLX","Chengdu University of Information Technology","SRP242158","Biological organic matter and manganese oxidizing bacteria Raw sequence reads","SRS6006037","","17.34","1","92203","36667168","LT-0.4.fastq","RNA-Seq","GENOMIC","PCR"
"SRX7570302","Biological organic matter and manganese removal","Crenothrix","454 GS FLX","Chengdu University of Information Technology","SRP242158","Biological organic matter and manganese oxidizing bacteria Raw sequence reads","SRS6006037","","15.06","1","74784","30937328","LT-0.fastq","RNA-Seq","GENOMIC","PCR"
"SRX7570301","Biological organic matter and manganese removal","Crenothrix","454 GS FLX","Chengdu University of Information Technology","SRP242158","Biological organic matter and manganese oxidizing bacteria Raw sequence reads","SRS6006037","","13.4","1","89610","40811949","HT-1.5.fastq","RNA-Seq","GENOMIC","PCR"
"SRX7570300","Biological organic matter and manganese removal","Crenothrix","454 GS FLX","Chengdu University of Information Technology","SRP242158","Biological organic matter and manganese oxidizing bacteria Raw sequence reads","SRS6006037","","15.68","1","102165","47016769","HT-1.2.fastq","RNA-Seq","GENOMIC","PCR"
"SRX7570299","Biological organic matter and manganese removal","Crenothrix","454 GS FLX","Chengdu University of Information Technology","SRP242158","Biological organic matter and manganese oxidizing bacteria Raw sequence reads","SRS6006037","","14.82","1","99957","45376561","HT-0.8.fastq","RNA-Seq","GENOMIC","PCR"
"SRX7570298","Biological organic matter and manganese removal","Crenothrix","454 GS FLX","Chengdu University of Information Technology","SRP242158","Biological organic matter and manganese oxidizing bacteria Raw sequence reads","SRS6006037","","15.28","1","103758","46881044","HT-0.4.fastq","RNA-Seq","GENOMIC","PCR"
"SRX7570297","Biological organic matter and manganese removal","Crenothrix","454 GS FLX","Chengdu University of Information Technology","SRP242158","Biological organic matter and manganese oxidizing bacteria Raw sequence reads","SRS6006037","","11.82","1","79786","36144629","HT-0.fastq","RNA-Seq","GENOMIC","PCR"
"SRX7533727","metagenome-assembled genome: Methylobacter sp.","Methylobacter sp.","Illumina MiSeq","Royal Netherlands Institute for Sea Research","SRP241109","Enrichment cultures dominated by methanotrophs established with suspended particulate matter of the water column of Lake Lacamas (WA, US) Raw sequence reads","SRS5972476","","1.07","1","415","4213939","LL-enrich-bin-26","WGS","GENOMIC","unspecified"
"SRX7432819","50_24_1","Methylotuvimicrobium buryatense 5G","HiSeq X Ten","Hubei University","SRP238566","Methylomicrobium buryatense 5GB1 transcriptome, Raw sequence reads","SRS5878173","","958.26","1","8646948","2594084400","F1_24_5","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX7432818","50_24_2","Methylotuvimicrobium buryatense 5G","HiSeq X Ten","Hubei University","SRP238566","Methylomicrobium buryatense 5GB1 transcriptome, Raw sequence reads","SRS5878172","","1014.3","1","9178652","2753595600","F1_24_2_5","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX7432817","20_24_2","Methylotuvimicrobium buryatense 5G","HiSeq X Ten","Hubei University","SRP238566","Methylomicrobium buryatense 5GB1 transcriptome, Raw sequence reads","SRS5878145","","1133.78","1","9663959","2899187700","1-2-t24-1","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX7432816","20_24_1","Methylotuvimicrobium buryatense 5G","HiSeq X Ten","Hubei University","SRP238566","Methylomicrobium buryatense 5GB1 transcriptome, Raw sequence reads","SRS5878144","","756.06","1","6858589","2057576700","F1_24_1","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX7432815","15_24_2","Methylotuvimicrobium buryatense 5G","HiSeq X Ten","Hubei University","SRP238566","Methylomicrobium buryatense 5GB1 transcriptome, Raw sequence reads","SRS5878171","","1546.82","1","13606339","4081901700","F2_24_2","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX7432814","15_24_1","Methylotuvimicrobium buryatense 5G","HiSeq X Ten","Hubei University","SRP238566","Methylomicrobium buryatense 5GB1 transcriptome, Raw sequence reads","SRS5878170","","1008.53","1","8908017","2672405100","F1_24_2","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX7432813","10_24_3","Methylotuvimicrobium buryatense 5G","HiSeq X Ten","Hubei University","SRP238566","Methylomicrobium buryatense 5GB1 transcriptome, Raw sequence reads","SRS5878143","","1136.61","1","9830265","2949079500","3-4-F1-24-1","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX7432812","10_24_2","Methylotuvimicrobium buryatense 5G","HiSeq X Ten","Hubei University","SRP238566","Methylomicrobium buryatense 5GB1 transcriptome, Raw sequence reads","SRS5878169","","855.69","1","7381927","2214578100","3-3-F1-24-1","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX7432811","5_72_1","Methylotuvimicrobium buryatense 5G","HiSeq X Ten","Hubei University","SRP238566","Methylomicrobium buryatense 5GB1 transcriptome, Raw sequence reads","SRS5878142","","997.06","1","9074246","2722273800","F1_72_4","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX7432810","5_48_1","Methylotuvimicrobium buryatense 5G","HiSeq X Ten","Hubei University","SRP238566","Methylomicrobium buryatense 5GB1 transcriptome, Raw sequence reads","SRS5878168","","1343.49","1","12097883","3629364900","F1_48_4","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX7083306","Methylomicrobium halotolerance","Methylomicrobium","NextSeq 550","University of Valladolid","SRP227909","Transcriptional and metabolic adaptations of the methanotroph Methylomicrobium alcaliphilum to high salinity conditions","SRS5598804","","629.25","1","23605342","3072292241","6","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX7083305","Methylomicrobium halotolerance","Methylomicrobium","NextSeq 550","University of Valladolid","SRP227909","Transcriptional and metabolic adaptations of the methanotroph Methylomicrobium alcaliphilum to high salinity conditions","SRS5598803","","857.65","1","23946167","3111344307","5","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX7083304","Methylomicrobium halotolerance","Methylomicrobium","NextSeq 550","University of Valladolid","SRP227909","Transcriptional and metabolic adaptations of the methanotroph Methylomicrobium alcaliphilum to high salinity conditions","SRS5598802","","875.7","1","27022566","3363206658","4","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX7083303","Methylomicrobium halotolerance","Methylomicrobium","NextSeq 550","University of Valladolid","SRP227909","Transcriptional and metabolic adaptations of the methanotroph Methylomicrobium alcaliphilum to high salinity conditions","SRS5598801","","768.01","1","26344860","3277814109","3","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX7083302","Methylomicrobium halotolerance","Methylomicrobium","NextSeq 550","University of Valladolid","SRP227909","Transcriptional and metabolic adaptations of the methanotroph Methylomicrobium alcaliphilum to high salinity conditions","SRS5598800","","813.99","1","26586392","3492278217","2","RNA-Seq","TRANSCRIPTOMIC","RANDOM"
"SRX6939075","Whole genome of Methylomonas sp. JS1","Methylomonas sp. JS1","PacBio RS II","Korea Advanced Institute of Science and Technology","SRP223798","Cometabolic vinyl chloride degradation at acidic pH catalyzed by acidophilic methanotrophs isolated from acidic peat bogs in Korea","SRS5510568","","5074.08","1","163482","1543976329","WGS of M.JS1","WGS","GENOMIC","RANDOM"
"SRX6932049","GSM4104292: WT_NMS2: Wild type, nitrate, biological replicate 2; Methylobacter tundripaludum 21/22; RNA-Seq","Methylobacter tundripaludum 21/22","Illumina HiSeq 2000","GEO","SRP223897","A complex interplay between nitric oxide, quorum sensing and a unique secondary metabolite tundrenone constitutes hypoxia response in Methylobacter","SRS5462293","","2239.6","1","24716807","7415042100","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX6932048","GSM4104291: WT_AMS2: Wild type, ammonia, biological replicate 2; Methylobacter tundripaludum 21/22; RNA-Seq","Methylobacter tundripaludum 21/22","Illumina HiSeq 2000","GEO","SRP223897","A complex interplay between nitric oxide, quorum sensing and a unique secondary metabolite tundrenone constitutes hypoxia response in Methylobacter","SRS5462292","","2195.56","1","24288198","7286459400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX6932047","GSM4104290: 165_NMS2: Mutant (tundrinone), nitrate, biological replicate 2; Methylobacter tundripaludum 21/22; RNA-Seq","Methylobacter tundripaludum 21/22","Illumina HiSeq 2000","GEO","SRP223897","A complex interplay between nitric oxide, quorum sensing and a unique secondary metabolite tundrenone constitutes hypoxia response in Methylobacter","SRS5462291","","2453.39","1","26808767","8042630100","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX6932046","GSM4104289: 165_AMS2: Mutant (tundrinone), ammonia, biological replicate 2; Methylobacter tundripaludum 21/22; RNA-Seq","Methylobacter tundripaludum 21/22","Illumina HiSeq 2000","GEO","SRP223897","A complex interplay between nitric oxide, quorum sensing and a unique secondary metabolite tundrenone constitutes hypoxia response in Methylobacter","SRS5462290","","2787.02","1","30738812","9221643600","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX6932045","GSM4104288: 142_NMS2: Mutant (quorum sensing), nitrate, biological replicate 2; Methylobacter tundripaludum 21/22; RNA-Seq","Methylobacter tundripaludum 21/22","Illumina HiSeq 2000","GEO","SRP223897","A complex interplay between nitric oxide, quorum sensing and a unique secondary metabolite tundrenone constitutes hypoxia response in Methylobacter","SRS5462289","","2726.9","1","30105258","9031577400","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
"SRX6932044","GSM4104287: 142_AMS2: Mutant (quorum sensing), ammonia, biological replicate 2; Methylobacter tundripaludum 21/22; RNA-Seq","Methylobacter tundripaludum 21/22","Illumina HiSeq 2000","GEO","SRP223897","A complex interplay between nitric oxide, quorum sensing and a unique secondary metabolite tundrenone constitutes hypoxia response in Methylobacter","SRS5462288","","2274.23","1","25119847","7535954100","","RNA-Seq","TRANSCRIPTOMIC","cDNA"
